     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         3,         0,   0.145,belief_find,cbe1f8f1afa6a80b58ffa3f65a3300af2bf787f9424f9fb129de30e040e9204d,"{""d"":5,""p"":0.005,""rounds"":5}",
       200,         1,         0,   0.107,bplsd,948490da94008bd3bbc08311f4b39bad2a1f35c740c76f62ea71c6e010fb2283,"{""d"":5,""p"":0.003,""rounds"":5}",
       200,         0,         0,   0.111,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
       200,         2,         0,   0.123,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
       200,         2,         0,   0.127,bplsd,948490da94008bd3bbc08311f4b39bad2a1f35c740c76f62ea71c6e010fb2283,"{""d"":5,""p"":0.003,""rounds"":5}",
       100,         0,         0,   0.055,bplsd,948490da94008bd3bbc08311f4b39bad2a1f35c740c76f62ea71c6e010fb2283,"{""d"":5,""p"":0.003,""rounds"":5}",
       200,         2,         0,   0.109,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
       600,         7,         0,   0.206,bplsd,948490da94008bd3bbc08311f4b39bad2a1f35c740c76f62ea71c6e010fb2283,"{""d"":5,""p"":0.003,""rounds"":5}",
       400,         2,         0,   0.251,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
       900,         6,         0,   0.460,bposd,a6afccb7294493f5ebb587a4c0f1846a65cb089d9735ad505939fff73351089c,"{""d"":5,""p"":0.003,""rounds"":5}",
       400,         1,         0,   0.267,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
      1200,         6,         0,   0.368,bplsd,948490da94008bd3bbc08311f4b39bad2a1f35c740c76f62ea71c6e010fb2283,"{""d"":5,""p"":0.003,""rounds"":5}",
       800,         3,         0,   0.465,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
      1800,         8,         0,   0.870,bposd,a6afccb7294493f5ebb587a4c0f1846a65cb089d9735ad505939fff73351089c,"{""d"":5,""p"":0.003,""rounds"":5}",
      1200,         5,         0,   0.636,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
       400,         4,         0,   0.218,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
      1200,         7,         0,   0.617,belief_find,1c5757a5030537229bbf1bcb5abad20e3bfbddec3ebdad0f7fffe62a6461ce23,"{""d"":5,""p"":0.003,""rounds"":5}",
      1800,         8,         0,   0.922,bposd,a6afccb7294493f5ebb587a4c0f1846a65cb089d9735ad505939fff73351089c,"{""d"":5,""p"":0.003,""rounds"":5}",
      1200,        17,         0,   0.053,bposd,2eb518dea6a5259bac766caa07f5d73f3172b294a4fb2fa18bf2d1e927e58fea,"{""d"":3,""p"":0.005,""rounds"":3}",
      2400,        32,         0,   0.088,bposd,2eb518dea6a5259bac766caa07f5d73f3172b294a4fb2fa18bf2d1e927e58fea,"{""d"":3,""p"":0.005,""rounds"":3}",
      1000,         1,         0,   0.488,bposd,a6afccb7294493f5ebb587a4c0f1846a65cb089d9735ad505939fff73351089c,"{""d"":5,""p"":0.003,""rounds"":5}",
       200,         9,         0,   0.017,belief_find,e198aec2f01fd655e196ef736c6383dc9cd7e27be91435b5512e7dc59095a74c,"{""d"":3,""p"":0.005,""rounds"":3}",
